1759771,0
1903596,0
3456882,2
8554587,2
36663090,3
3303970,4
1712423,5
2419880,5
2185834426,6
2351618,6
1387936232,7
119464741,7
3298708,5
2532973,5
1744513,2
123794140,8
46205857,9
23724710,9
2495458,10
3203819,10
2065350792,10
1666528199,10
11230598,11
2134231,11
153431472,12
3104170,12
144194373,8
115767234,8
1717221,13
8836912,13
144626042,14
145892975,14
26582424,15
2251027,16
2446921,12
1388775854,12
103273315,4
1863307,4
2751909,43
1823990,43
51435753,15
1809243,4
1414112810,4
11374925,4
1759462,18
13580245,18
1999065,19
51118506,19
2510840,10
47892132,10
32873584,20
2064581974,20
145879842,21
145419642,21
2057047829,22
2057046985,22
1834047,23
50884186,23
1749906,12
1422133662,12
144652072,12
145792941,12
35168570,15
2081249,15
2422370,12
2402406,12
3432684,24
1717971,24
40598011,25
2111337069,25
2592694,8
2934077,8
1766240,26
144272453,26
50263206,27
3250989,27
51115231,2
90599671,2
2139879282,15
35139296,15
2334617,13
1755408,13
19293146,27
88182802,27
2037899334,12
3159918,12
3204569,2
3291438,2
20757968,22
2162446630,22
2125706147,15
2504674,15
153085268,28
48837352,28
24032369,18
2121363803,18
4410019,4
21493167,15
37978142,29
33295892,29
145519038,15
1404609254,18
1402573847,18
5824067,30
1412391493,30
2302886,0
143644649,0
5672274,31
3076440,31
48026693,4
6754112,4
1797355,27
2796576,27
3329961,15
37936069,32
2073018730,32
1390131709,13
1390131683,13
50524587,3
38181973,3
1994941333,15
2222952,15
32947268,24
143802734,12
8791376,12
2007674493,28
144044007,28
144436943,12
32455314,12
35248702,34
2068693572,34
30421024,6
2752996,6
2052707659,19
2900564,19
144641844,35
3693542,35
3593793,35
3369903,35
3185333,36
2004364619,36
6701427,22
1411154983,22
2456124,37
3199878,37
1799402,28
2066685414,16
2185195512,16
101948911,15
144300761,15
1768074,12
1682008,12
144433798,43
144651649,43
144232865,35
51427003,35
3091574,36
3386013,36
16054378,8
144155885,8
2065497554,38
1397797306,38
1743087,13
150297229,13
33392067,0
51130504,0
31674115,5
152215935,5
1703124,2
39762878,2
1805753,24
1398241945,15
145512648,4
2197779581,18
118583353,18
9522307,21
1697703,21
1925560,19
1685522,10
1755518,10
1790055,4
1403573741,4
1747798,25
1714027,25
46258841,21
144526707,21
116700977,22
144715575,22
1736470,8
2943164,8
2079740165,38
47974660,38
1684687,22
2061506036,22
2224467,11
2876837,11
1743043,19
72630048,12
2524172,12
2771830,5
148301756,39
150982771,39
1980353,15
80273596,15
2051745007,43
144610599,43
1580516816,21
39888452,28
2676839,28
2654157,19
2030915545,19
143634219,6
73774143,6
1705764,15
2065333595,15
145476099,30
34597147,30
2573193,9
3171769,9
2994505,40
34421129,40
3130592,18
66215324,18
113302314,40
50482354,40
1694393,12
2029657498,12
1958921,28
143841814,28
1741487,12
2410580,12
1782658,32
2116308648,32
24288875,43
